mid,did
tt0050212,nm0933858
tt0050212,nm0099541
tt0050212,nm0286025
tt1291584,nm3294574
tt1291584,nm0233561
tt1291584,nm0640334
tt0117951,nm0920543
tt0117951,nm0000965
tt0117951,nm0388076
tt0084787,nm0132168
tt0084787,nm0000118
tt0084787,nm0484111
tt1305806,nm3160078
tt1305806,nm0002728
tt0046912,nm0461425
tt0046912,nm0000033
tt2096673,nm0215455
tt2096673,nm0498834
tt2096673,nm0230032
tt0071315,nm0000591
tt0071315,nm0001801
tt0120735,nm0005363
tt0031381,nm0308177
tt0031381,nm0002030
tt0031381,nm0593565
tt0031381,nm0281808
tt0031381,nm0397608
tt0031381,nm0939992
tt0434409,nm0905154
tt0434409,nm0905152
tt0434409,nm2331222
tt0434409,nm0574625
tt0080678,nm0000186
tt0080678,nm0075015
tt0080678,nm0212246
tt0081398,nm0483766
tt0081398,nm0000217
tt0081398,nm0141734
tt0081398,nm0678014
tt0477348,nm0565092
tt0477348,nm0001053
tt0477348,nm0001054
tt0266697,nm0000235
tt0266697,nm0000233
tt0266543,nm0721675
tt0266543,nm0881279
tt0266543,nm0677037
tt0266543,nm0004056
tt0057115,nm0122446
tt0057115,nm0165412
tt0057115,nm0836328
tt0057115,nm0108595
tt0055630,nm0452878
tt0055630,nm0000041
tt0040897,nm0871252
tt0040897,nm0001379
tt1130884,nm0436164
tt1130884,nm0000217
tt1130884,nm1212331
tt0469494,nm0000759
tt0469494,nm0801737
tt0042876,nm0368074
tt0042876,nm0000041
tt0042876,nm0015611
tt0071853,nm0001037
tt0071853,nm0000416
tt0071853,nm0001385
tt0071853,nm0000092
tt0071853,nm0001402
tt0120382,nm0629272
tt0120382,nm0001837
tt0167404,nm0796117
tt0268978,nm0000165
tt0268978,nm0621586
tt0268978,nm0326040
tt0089881,nm0644823
tt0089881,nm0000041
tt0089881,nm0406836
tt0055031,nm0006452
tt0055031,nm0001050
tt0055031,nm0542631
tt0457430,nm0868219
tt0112641,nm0683380
tt0112641,nm0000217
tt0105695,nm0000142
tt0105695,nm0672459
tt102723x,nm0358960
tt102723x,nm1725469
tt0042192,nm0000581
tt0042192,nm0650581
tt6966692,nm0268380
tt6966692,nm0885014
tt6966692,nm0192942
tt0993846,nm0000217
tt0993846,nm0067789
tt0993846,nm1010540
tt0012349,nm0000122
tt0053291,nm0858329
tt0053291,nm0224634
tt0053291,nm0000697
tt0363163,nm0275264
tt0363163,nm0251536
tt0363163,nm0386570
tt0363163,nm0432622
tt5074352,nm4318159
tt5074352,nm6328030
tt5074352,nm6328029
tt5074352,nm6328031
tt0059578,nm0607694
tt0059578,nm0898812
tt0059578,nm0001466
tt0986264,nm1244760
tt0986264,nm0451148
tt0372784,nm0004170
tt0372784,nm0634240
tt0372784,nm0275286
tt8579674,nm0005222
tt8579674,nm4880670
tt1255953,nm0898288
tt1255953,nm1416431
tt1255953,nm4034068
tt0107290,nm0462895
tt0107290,nm0000341
tt0107290,nm0000229
tt0017136,nm0000485
tt0017136,nm0902376
tt1832382,nm1410815
tt0040522,nm0001120
tt0040522,nm0080755
tt0040522,nm0059030
tt0040522,nm0953790
tt0095016,nm0861636
tt0095016,nm0001532
tt0095016,nm0835732
tt0095016,nm0211823
tt0044741,nm0368074
tt0044741,nm0000041
tt0044741,nm0644823
tt0208092,nm0005363
tt0113277,nm0000520
tt1049413,nm0565336
tt1049413,nm0677037
tt1049413,nm0230032
tt0070735,nm0911486
tt0070735,nm0001351
tt0119488,nm0001338
tt0119488,nm0255278
tt0119488,nm0000436
tt0056592,nm0285210
tt0056592,nm0497369
tt0056592,nm0612322
tt8503618,nm0592135
tt8503618,nm2375857
tt8503618,nm2371802
tt0075314,nm0001707
tt0075314,nm0000217
tt0097576,nm0090151
tt0097576,nm0000184
tt0097576,nm0583675
tt0097576,nm0000229
tt0091251,nm0010696
tt0091251,nm0459552
tt0066921,nm0121256
