mid,name,mpaa,description,release_date,overall_rating
tt0070047,The Exorcist,R,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",1973-12-26,0
tt0074958,Network,R,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",1976-11-27,0
tt0107048,Groundhog Day,PG,A self-centered Pittsburgh weatherman finds himself inexplicably trapped in a small town as he lives the same day over and over again.,1993-02-12,0
tt0061512,Cool Hand Luke,GP,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",1967-11-01,0
tt1895587,Spotlight,R,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",2015-11-20,0
tt0036868,The Best Years of Our Lives,Approved,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",1947-05-29,0
tt3315342,Logan,R,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",2017-03-03,0
tt0092005,Stand by Me,R,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",1986-08-22,0
tt1950186,Ford v Ferrari,PG-13,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,2019-11-15,0
tt1979320,Rush,R,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,2013-09-27,0
tt0091763,Platoon,R,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",1987-02-06,0
tt0046438,Tokyo Story,Not Rated,"An old couple visit their children and grandchildren in the city, but receive little attention.",1972-03-13,0
tt0032138,The Wizard of Oz,G,"Young Dorothy Gale and her dog are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",1939-08-25,0
tt0097165,Dead Poets Society,PG,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,1989-06-09,0
tt0758758,Into the Wild,R,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",2007-10-19,0
tt0395169,Hotel Rwanda,PG-13,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",2005-02-04,0
tt0381681,Before Sunset,R,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",2004-07-30,0
tt0075148,Rocky,PG,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,1976-12-03,0
tt0019254,The Passion of Joan of Arc,Passed,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",1928-10-25,0
tt0088247,The Terminator,R,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",1984-10-26,0
tt0198781,"Monsters, Inc.",G,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",2001-11-02,0
tt4729430,Klaus,PG,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",2019-11-15,0
tt1392190,Mad Max: Fury Road,R,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",2015-05-15,0
tt0118715,The Big Lebowski,R,"Ultimate L.A. slacker Jeff 'The Dude' Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.",1998-03-06,0
tt0072684,Barry Lyndon,PG,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,1975-12-18,0
tt3011894,Wild Tales,R,Six short stories that explore the extremities of human behavior involving people in distress.,2014-08-21,0
tt0050976,The Seventh Seal,Not Rated,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",1958-10-13,0
tt0978762,Mary and Max,Not Rated,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",2010-03-12,0
tt0353969,Memories of Murder,Not Rated,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",2003-05-02,0
tt0892769,How to Train Your Dragon,PG,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",2010-03-26,0
tt0073195,Jaws,PG,"When a killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",1975-06-20,0
tt3170832,Room,R,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",2016-01-22,0
tt0015324,Sherlock Jr.,Passed,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",1924-05-11,0
tt2278388,The Grand Budapest Hotel,R,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",2014-03-28,0
tt2119532,Hacksaw Ridge,R,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",2016-11-04,0
tt0048473,Pather Panchali,Not Rated,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",1955-08-26,0
tt0031679,Mr. Smith Goes to Washington,Passed,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",1939-10-19,0
tt0112471,Before Sunrise,R,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",1995-01-27,0
tt0046268,The Wages of Fear,Not Rated,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",1955-02-16,0
tt0107207,In the Name of the Father,R,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,1994-02-25,0
tt0052618,Ben-Hur,G,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",1959-11-18,0
tt0050986,Wild Strawberries,Not Rated,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",1959-06-22,0
tt2267998,Gone Girl,R,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",2014-10-03,0
tt1201607,Harry Potter and the Deathly Hallows: Part 2,PG-13,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",2011-07-15,0
tt0077416,The Deer Hunter,R,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,1979-02-23,0
tt2024544,12 Years a Slave,R,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",2013-11-08,0
tt0017925,The General,Passed,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",1927-01-02,0
tt0047296,On the Waterfront,Approved,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",1954-06-22,0
tt0264464,Catch Me If You Can,PG-13,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",2002-12-25,0
tt0405159,Million Dollar Baby,PG-13,A determined woman works with a hardened boxing trainer to become a professional.,2005-01-28,0
tt0118849,Children of Heaven,PG,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to 'win' a new pair.",1999-01-22,0
tt1392214,Prisoners,R,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",2013-09-20,0
tt0096283,My Neighbor Totoro,G,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",1990-07-13,0
tt0116282,Fargo,R,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,1996-04-05,0
tt0015864,The Gold Rush,Passed,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",1925-07-13,0
tt0041959,The Third Man,Approved,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",1949-09-03,0
tt1291584,Warrior,PG-13,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",2011-09-09,0
tt0117951,Trainspotting,R,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",1996-08-09,0
tt1205489,Gran Torino,R,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",2009-01-09,0
tt0347149,Howl's Moving Castle,PG,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",2005-06-17,0
tt0050212,The Bridge on the River Kwai,PG,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",1957-12-14,0
tt5027774,"Three Billboards Outside Ebbing, Missouri",R,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,2017-12-01,0
tt0084787,The Thing,R,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,1982-06-25,0
tt0046912,Dial M for Murder,PG,A former tennis star arranges the murder of his adulterous wife.,1954-05-29,0
tt0120735,"Lock, Stock and Two Smoking Barrels",R,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",1998-08-28,0
tt0031381,Gone with the Wind,Passed,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.,1940-01-17,0
tt2096673,Inside Out,PG,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",2015-06-19,0
tt0071315,Chinatown,R,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",1974-06-20,0
tt0434409,V for Vendetta,R,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of 'V,' plots to overthrow it with the help of a young woman.",2006-03-17,0
tt1305806,The Secret in Their Eyes,R,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,2010-05-21,0
tt0083658,Blade Runner,R,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",1982-06-25,0
tt0266697,Kill Bill: Vol. 1,R,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",2003-10-10,0
tt0477348,No Country for Old Men,R,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,2007-11-21,0
tt0266543,Finding Nemo,G,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",2003-05-30,0
tt0107290,Jurassic Park,PG-13,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,1993-06-11,0
tt0042876,Rashomon,Not Rated,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",1951-12-26,0
tt1130884,Shutter Island,R,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",2010-02-19,0
tt0057115,The Great Escape,Approved,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,1963-07-04,0
tt0055630,Yojimbo,Not Rated,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,1961-09-13,0
tt0040897,The Treasure of the Sierra Madre,Passed,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,1948-01-24,0
tt0080678,The Elephant Man,PG,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",1980-10-10,0
tt0469494,There Will Be Blood,R,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",2008-01-25,0
tt0081398,Raging Bull,R,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",1980-12-19,0
tt0071853,Monty Python and the Holy Grail,PG,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",1975-05-25,0
tt0167404,The Sixth Sense,PG-13,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",1999-08-06,0
tt0268978,A Beautiful Mind,PG-13,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",2002-01-04,0
tt0089881,Ran,R,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",1985-06-01,0
tt0120382,The Truman Show,PG,An insurance salesman discovers his whole life is actually a reality TV show.,1998-06-05,0
tt0112641,Casino,R,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",1995-11-22,0
tt0105695,Unforgiven,R,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The 'Schofield Kid.'",1992-08-07,0
tt0055031,Judgment at Nuremberg,Approved,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",1961-12-18,0
tt0457430,Pan's Labyrinth,R,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",2007-01-19,0
tt102723x,The Father,PG-13,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",2021-02-26,0
tt0993846,The Wolf of Wall Street,R,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",2013-12-25,0
tt0042192,All About Eve,Passed,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,1950-10-27,0
tt0363163,Downfall,R,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",2005-04-08,0
tt6966692,Green Book,PG-13,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,2018-11-16,0
tt0053291,Some Like It Hot,Passed,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",1959-03-19,0
tt0012349,The Kid,Passed,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",1921-02-06,0
tt5074352,Dangal,Not Rated,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,2016-12-21,0
tt1255953,Incendies,R,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,2011-01-12,0
tt0017136,Metropolis,Not Rated,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",1927-03-13,0
tt1832382,A Separation,PG-13,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,2011-03-16,0
tt0986264,Like Stars on Earth,PG,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",2007-12-21,0
tt0372784,Batman Begins,PG-13,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",2005-06-15,0
tt8579674,1917,R,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",2020-01-10,0
tt0059578,For a Few Dollars More,R,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,1967-05-10,0
tt0040522,Bicycle Thieves,Not Rated,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",1949-12-13,0
