mid,name,mpaa,description,release_date,overall_rating
tt0338013,Eternal Sunshine of the Spotless Mind,R,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",2004-03-19,0
tt5311514,Your Name.,TV-PG,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",2017-04-07,0
tt0086190,Star Wars: Episode VI - Return of the Jedi,PG,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",1983-05-25,0
tt0045152,Singin' in the Rain,G,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,1952-04-11,0
tt0180093,Requiem for a Dream,Unrated,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,2000-12-15,0
tt0062622,2001: A Space Odyssey,G,"The Monoliths push humanity to reach for the stars; after their discovery in Africa generations ago, the mysterious objects lead mankind on an awesome journey to Jupiter, with the help of H.A.L. 9000: the world's greatest supercomputer.",1970-06-24,0
tt0066921,A Clockwork Orange,X,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",1972-02-02,0
tt0087843,Once Upon a Time in America,R,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",1984-06-01,0
tt1187043,3 Idiots,PG-13,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them 'idiots'.",2009-12-25,0
tt0082096,The Boat,User reviews,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",1982-02-10,0
tt0119217,Good Will Hunting,R,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",1998-01-09,0
tt4154796,Avengers: Endgame,PG-13,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",2019-04-26,0
tt0435761,Toy Story 3,G,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",2010-06-18,0
tt0361748,Inglourious Basterds,R,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",2009-08-21,0
tt2380307,Coco,PG,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",2017-11-22,0
tt0119698,Princess Mononoke,PG-13,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",1997-12-19,0
tt0086879,Amadeus,PG,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",1984-09-19,0
tt0114709,Toy Story,G,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,1995-11-22,0
tt0364569,Old Boy,R,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",2003-11-21,0
tt4633694,Spider-Man: Into the Spider-Verse,PG,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",2018-12-14,0
tt7286456,Joker,R,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",2019-10-04,0
tt1345836,The Dark Knight Rises,PG-13,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",2012-07-20,0
tt0169547,American Beauty,R,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,1999-10-01,0
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,PG,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",1964-01-29,0
tt0112573,Braveheart,R,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,1995-05-24,0
tt0053125,North by Northwest,Approved,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",1959-12-18,0
tt0090605,Aliens,R,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",1986-07-18,0
tt0032553,The Great Dictator,G,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,1941-03-07,0
tt4154756,Avengers: Infinity War,PG-13,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,2018-04-27,0
tt0050825,Paths of Glory,Approved,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",1957-12-25,0
tt0051201,Witness for the Prosecution,Approved,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,1958-02-06,0
tt0082971,Indiana Jones and the Raiders of the Lost Ark,PG,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",1981-06-12,0
tt1853728,Django Unchained,R,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",2012-12-25,0
tt0910970,WALL·E,G,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",2008-06-27,0
tt0209144,Memento,R,A man with short-term memory loss attempts to track down his wife's murderer.,2001-05-25,0
tt0021749,City Lights,G,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",1931-03-07,0
tt0078788,Apocalypse Now,R,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,1979-08-15,0
tt0078748,Alien,R,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,1979-06-22,0
tt0095765,Cinema Paradiso,PG,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,1990-02-23,0
tt0047396,Rear Window,PG,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",1954-09-01,0
tt0027977,Modern Times,G,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1936-02-25,0
tt0064116,Once Upon a Time in the West,PG-13,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,1969-07-04,0
tt0095327,Grave of the Fireflies,Not Rated,A young boy and his little sister struggle to survive in Japan during World War II.,1989-07-26,0
tt1675434,The Intouchables,R,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",2011-11-02,0
tt0407887,The Departed,R,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,2006-10-06,0
tt2582802,Whiplash,R,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,2014-10-15,0
tt108726x,Spider-Man: No Way Home,PG-13,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",2021-12-17,0
tt0482571,The Prestige,PG-13,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",2006-10-20,0
tt0114814,The Usual Suspects,R,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",1995-08-16,0
tt0056058,Hara-Kiri,Not Rated,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",1964-08-04,0
tt0120586,American History X,R,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,1998-11-20,0
tt0172495,Gladiator,R,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,2000-05-05,0
tt0034583,Casablanca,PG,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,1943-01-23,0
tt6751668,Parasite,R,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,2019-11-08,0
tt0110357,The Lion King,G,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",1994-06-24,0
tt0110413,Léon: The Professional,R,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",1994-11-18,0
tt0245429,Spirited Away,PG,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",2003-03-28,0
tt0088763,Back to the Future,PG,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",1985-07-03,0
tt0253474,The Pianist,R,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,2003-03-28,0
tt0054215,Psycho,R,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",1960-09-08,0
tt0103064,Terminator 2: Judgment Day,R,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",1991-07-03,0
tt0816692,Interstellar,PG-13,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,2014-11-07,0
tt0076759,Star Wars,PG,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",1977-05-25,0
tt0317248,City of God,R,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",2004-02-13,0
tt0102926,The Silence of the Lambs,R,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1991-02-14,0
tt0120815,Saving Private Ryan,R,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",1998-07-24,0
tt0047478,Seven Samurai,Not Rated,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,1956-11-19,0
tt0038650,It's a Wonderful Life,PG,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,1947-01-07,0
tt0073486,One Flew Over the Cuckoo's Nest,R,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",1975-11-19,0
tt0114369,Se7en,R,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",1995-09-22,0
tt0133093,The Matrix,R,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",1999-03-31,0
tt0099685,Goodfellas,R,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",1990-09-21,0
tt0120689,The Green Mile,R,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",1999-12-10,0
tt0080684,Star Wars: Episode V - The Empire Strikes Back,PG,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",1980-06-20,0
tt0167261,The Lord of the Rings: The Two Towers,PG,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2002-12-18,0
tt0118799,Life Is Beautiful,PG-13,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",1997-12-20,0
