mid,genre
tt0266,Drama
tt0266,Thriller
tt0477,Crime
tt0477,Drama
tt0477,Thriller
tt0107,Action
tt0107,Adventure
tt0107,Sci-Fi
tt0107,Thriller
tt0042,Crime
tt0042,Drama
tt0042,Mystery
tt1130,Mystery
tt1130,Thriller
tt0055,Action
tt0055,Drama
tt0055,Thriller
tt0057,Adventure
tt0057,Drama
tt0057,History
tt0057,Thriller
tt0057,War
tt0469,Drama
tt0071,Adventure
tt0071,Comedy
tt0071,Fantasy
tt0120,Comedy
tt0120,Drama
tt0167,Drama
tt0167,Mystery
tt0167,Thriller
tt0268,Biography
tt0268,Drama
tt0089,Action
tt0089,Drama
tt0089,War
tt0112,Crime
tt0112,Drama
tt0105,Drama
tt0105,Western
tt0040,Adventure
tt0040,Drama
tt0040,Western
tt0457,Drama
tt0457,Fantasy
tt0457,War
tt6966,Biography
tt6966,Comedy
tt6966,Drama
tt6966,Music
tt0993,Biography
tt0993,Comedy
tt0993,Crime
tt0993,Drama
tt0055,Drama
tt0055,War
tt0042,Drama
tt0053,Comedy
tt0053,Music
tt0053,Romance
tt0363,Biography
tt0363,Drama
tt0363,History
tt0363,War
tt1027,Drama
tt1027,Mystery
tt5074,Action
tt5074,Biography
tt5074,Drama
tt5074,Sport
tt0012,Comedy
tt0012,Drama
tt0012,Family
tt8579,Action
tt8579,Drama
tt8579,War
tt1255,Drama
tt1255,Mystery
tt1255,War
tt0040,Drama
tt0372,Action
tt0372,Crime
tt0372,Drama
tt0095,Action
tt0095,Thriller
tt0059,Western
tt0097,Action
tt0097,Adventure
tt0017,Drama
tt0017,Sci-Fi
tt1832,Drama
tt0113,Action
tt0113,Crime
tt0113,Drama
tt1049,Animation
tt1049,Adventure
tt1049,Comedy
tt1049,Drama
tt1049,Family
tt0070,Comedy
tt0070,Crime
tt0070,Drama
tt0119,Crime
tt0119,Drama
tt0119,Mystery
tt0119,Thriller
tt0044,Drama
tt0986,Drama
tt0986,Family
tt0208,Comedy
tt0208,Crime
tt0053,Comedy
tt0053,Drama
tt0053,Romance
tt0086,Crime
tt0086,Drama
tt0075,Crime
tt0075,Drama
tt0093,Drama
tt0093,War
tt0091,Drama
tt0091,Thriller
tt0091,War
tt0036,Crime
tt0036,Drama
tt0036,Film-Noir
tt0036,Mystery
tt0036,Thriller
tt0056,Crime
tt0056,Drama
tt8503,Biography
tt8503,Drama
tt8503,History
tt8503,Musical
tt0066,Crime
tt0066,Sci-Fi
tt0211,Comedy
tt0211,Romance
tt2106,Drama
tt0052,Mystery
tt0052,Romance
tt0052,Thriller
tt8267,Drama
tt0022,Crime
tt0022,Mystery
tt0022,Thriller
tt0053,Adventure
tt0053,Mystery
tt0053,Thriller
tt0057,Crime
tt0057,Drama
tt0057,Mystery
tt0057,Thriller
tt0062,Adventure
tt0062,Sci-Fi
tt0338,Drama
tt0338,Romance
tt0338,Sci-Fi
tt0105,Crime
tt0105,Drama
tt0105,Thriller
tt0056,Adventure
tt0056,Biography
tt0056,Drama
tt0056,War
tt5311,Animation
tt5311,Drama
tt5311,Fantasy
tt5311,Romance
tt0180,Drama
tt0045,Comedy
tt0045,Musical
tt0045,Romance
tt1187,Comedy
tt1187,Drama
tt0033,Drama
tt0033,Mystery
tt0087,Crime
tt0087,Drama
tt0435,Animation
tt0435,Adventure
tt0435,Comedy
tt0435,Family
tt0435,Fantasy
tt4154,Action
tt4154,Adventure
tt4154,Drama
tt4154,Sci-Fi
tt0119,Drama
tt0119,Romance
tt0361,Adventure
tt0361,Drama
tt0361,War
tt2380,Animation
tt2380,Adventure
tt2380,Comedy
tt2380,Family
tt2380,Fantasy
tt2380,Music
tt2380,Mystery
tt0119,Animation
tt0119,Action
tt0119,Adventure
tt0119,Fantasy
tt0082,Drama
tt0082,War
tt0364,Action
tt0364,Drama
tt0364,Mystery
tt0364,Thriller
tt0114,Animation
tt0114,Adventure
tt0114,Comedy
tt0114,Family
tt0114,Fantasy
tt4633,Animation
tt4633,Action
tt4633,Adventure
tt4633,Comedy
tt4633,Family
tt4633,Fantasy
tt4633,Sci-Fi
tt0112,Biography
tt0112,Drama
tt0112,History
tt0112,War
tt0086,Biography
tt0086,Drama
tt0086,Music
tt1345,Action
tt1345,Crime
tt1345,Drama
tt0057,Comedy
tt0057,War
tt7286,Crime
tt7286,Drama
tt7286,Thriller
tt0078,Horror
tt0078,Sci-Fi
tt0169,Drama
tt0095,Animation
tt0095,Drama
tt0095,War
tt0056,Action
tt0056,Drama
tt0056,Mystery
tt0034,Drama
tt0034,Romance
tt0034,War
tt0482,Drama
tt0482,Mystery
tt0482,Thriller
tt0086,Action
tt0086,Adventure
tt0086,Fantasy
tt0086,Sci-Fi
tt1675,Biography
tt1675,Comedy
tt1675,Drama
tt0114,Crime
tt0114,Drama
tt0114,Mystery
tt0114,Thriller
tt1087,Action
tt1087,Adventure
tt1087,Fantasy
tt1087,Sci-Fi
tt0407,Crime
tt0407,Drama
tt0407,Thriller
tt2582,Drama
tt2582,Music
tt0120,Drama
tt0172,Action
tt0172,Adventure
tt0172,Drama
tt0110,Animation
tt0110,Adventure
tt0110,Drama
tt0110,Family
tt0110,Musical
tt0064,Western
tt6751,Comedy
tt6751,Drama
tt6751,Thriller
tt0253,Biography
tt0253,Drama
tt0253,Music
tt0253,War
tt0027,Comedy
tt0027,Drama
tt0027,Romance
tt0054,Horror
tt0054,Mystery
tt0054,Thriller
tt0110,Action
tt0110,Crime
tt0110,Drama
tt0110,Thriller
tt0088,Adventure
tt0088,Comedy
tt0088,Sci-Fi
tt0816,Adventure
tt0816,Drama
tt0816,Sci-Fi
tt0076,Action
tt0076,Adventure
tt0076,Fantasy
tt0076,Sci-Fi
tt0120,Crime
tt0120,Drama
tt0120,Fantasy
tt0120,Mystery
tt0103,Action
tt0103,Sci-Fi
tt0245,Animation
tt0245,Adventure
tt0245,Family
tt0245,Fantasy
tt0245,Mystery
tt0118,Comedy
tt0118,Drama
tt0118,Romance
tt0118,War
tt0317,Crime
tt0317,Drama
tt0120,Drama
tt0120,War
tt0038,Comedy
tt0038,Drama
tt0038,Family
tt0038,Fantasy
tt0102,Crime
tt0102,Drama
tt0102,Thriller
tt0047,Action
tt0047,Drama
tt0099,Biography
tt0099,Crime
tt0099,Drama
tt0073,Drama
tt0114,Crime
tt0114,Drama
tt0114,Mystery
tt0114,Thriller
tt0133,Action
tt0133,Sci-Fi
tt0080,Action
tt0080,Adventure
tt0080,Fantasy
tt0080,Sci-Fi
tt0167,Action
tt0167,Adventure
tt0167,Drama
tt0167,Fantasy
tt1375,Action
tt1375,Adventure
tt1375,Sci-Fi
tt1375,Thriller
tt0137,Drama
tt0120,Action
tt0120,Adventure
tt0120,Drama
tt0120,Fantasy
tt0109,Drama
tt0109,Romance
tt0110,Crime
tt0110,Drama
tt0060,Adventure
tt0060,Western
tt0108,Biography
tt0108,Drama
tt0108,History
tt0468,Action
tt0468,Crime
tt0468,Drama
tt0468,Thriller
tt0071,Crime
tt0071,Drama
tt0050,Crime
tt0050,Drama
tt0068,Crime
tt0068,Drama
tt0111,Drama
tt0167,Action
tt0167,Adventure
tt0167,Drama
tt0167,Fantasy
