mid,aid
tt2267998,nm0000439
tt0041959,nm0000080
tt0041959,nm0001072
tt0041959,nm0885098
tt0015864,nm0000122
tt0015864,nm0841501
tt0015864,nm0615306
tt0118849,nm0619870
tt0118849,nm0268488
tt0118849,nm0781245
tt0083658,nm0000148
tt0083658,nm0000442
tt0083658,nm0000707
tt0264464,nm0000138
tt0264464,nm0000158
tt0264464,nm0000686
tt0405159,nm0005476
tt0405159,nm0000142
tt0405159,nm0000151
tt1392214,nm0413168
tt1392214,nm0350453
tt1392214,nm0205626
tt0096283,nm0847054
tt0096283,nm0383022
tt0096283,nm0757076
tt1205489,nm0000142
tt1205489,nm3057402
tt1205489,nm1542291
tt1291584,nm0362766
tt1291584,nm0000560
tt1291584,nm0249291
tt0050212,nm0000034
tt0050212,nm0000027
tt0050212,nm0370144
tt0117951,nm0000191
tt0117951,nm0001971
tt0117951,nm0001538
tt5027774,nm0000531
tt5027774,nm0000437
tt5027774,nm0005377
tt0347149,nm0047962
tt0347149,nm0454120
tt0347149,nm0309107
tt1305806,nm0201857
tt1305806,nm0897845
tt1305806,nm0706567
tt0116282,nm0000513
tt0116282,nm0000531
tt0116282,nm0000114
tt2096673,nm0688132
tt2096673,nm0352778
tt2096673,nm0085400
tt0071315,nm0000197
tt0071315,nm0001159
tt0071315,nm0001379
tt0046912,nm0001537
tt0046912,nm0000038
tt0046912,nm0191950
tt0031381,nm0000022
tt0031381,nm0000046
tt0031381,nm0593775
tt0434409,nm0915989
tt0434409,nm0000204
tt0434409,nm0001291
tt0080678,nm0000164
tt0080678,nm0000457
tt0080678,nm0000843
tt0120735,nm0002076
tt0120735,nm0002077
tt0120735,nm0602941
tt0081398,nm0000134
tt0081398,nm0001550
tt0081398,nm0000582
tt0477348,nm0000169
tt0477348,nm0000849
tt0477348,nm0000982
tt0266697,nm0000235
tt0266697,nm0001016
tt0266697,nm0000435
tt0266543,nm0000983
tt0266543,nm0001122
tt0266543,nm1071252
tt0084787,nm0000621
tt0084787,nm0000979
tt0084787,nm0202966
tt0042876,nm0001536
tt0042876,nm0477553
tt0042876,nm0605270
tt0107290,nm0000554
tt0107290,nm0000368
tt0107290,nm0000156
tt0469494,nm0000358
tt0469494,nm0200452
tt0469494,nm0001354
tt0055630,nm0001536
tt0055630,nm0867391
tt0055630,nm0619938
tt1130884,nm0000138
tt1130884,nm0607865
tt1130884,nm0749263
tt0040897,nm0000007
tt0040897,nm0404158
tt0040897,nm0392529
tt0120382,nm0000120
tt0120382,nm0000438
tt0120382,nm0001473
tt0167404,nm0000246
tt0167404,nm0005286
tt0167404,nm0001057
tt0055031,nm0000075
tt0055031,nm0000044
tt0055031,nm0001847
tt0089881,nm0619938
tt0089881,nm0855417
tt0089881,nm0628704
tt0057115,nm0000537
tt0057115,nm0001258
tt0057115,nm0000277
tt0071853,nm0001037
tt0071853,nm0000092
tt0071853,nm0001385
tt0457430,nm1419440
tt0457430,nm0317725
tt0457430,nm0530365
tt0268978,nm0000128
tt0268978,nm0000438
tt0268978,nm0000124
tt0105695,nm0000142
tt0105695,nm0000432
tt0105695,nm0000151
tt0993846,nm0000138
tt0993846,nm1706767
tt0993846,nm3053338
tt0042192,nm0000012
tt0042192,nm0000879
tt0042192,nm0001695
tt102723x,nm0000164
tt102723x,nm1469236
tt102723x,nm0309693
tt0053291,nm0000054
tt0053291,nm0000348
tt0053291,nm0000493
